Designator,Mid X,Mid Y,Rotation,Layer
BT1,82.703964,-101.170181,90.0,top
BZ1,160.463964,-112.660181,0.0,top
D1,117.353965,-76.470181,0.0,top
D10,193.979791,-107.37498,-10.0,top
D11,222.228138,-107.265383,-10.0,top
D12,117.153965,-114.660181,0.0,top
D13,148.553964,-99.57018,90.0,top
D14,155.353965,-102.670181,0.0,top
D15,174.949822,-112.688767,-4.0,top
D16,190.653965,-126.070181,-10.0,top
D17,218.879792,-125.87498,-10.0,top
D18,101.233965,-103.33018,0.0,top
D19,88.626883,-140.048099,-45.0,top
D2,136.353964,-73.470181,0.0,top
D20,107.875964,-128.269938,-60.0,top
D21,129.456964,-121.591181,-75.0,top
D22,151.957965,-120.675181,-90.0,top
D3,155.453965,-64.47018,0.0,top
D4,176.349823,-74.588767,-4.0,top
D5,197.279791,-88.57498,-10.0,top
D6,117.353965,-95.57018,0.0,top
D7,137.350964,-92.56718,0.0,top
D8,155.432965,-83.555181,0.0,top
D9,174.958106,-93.651595,-4.0,top
J1,81.253965,-123.74518,90.0,top
J2,200.353964,-62.420181,0.0,bottom
JP1,100.558965,-98.172181,-90.0,top
JP12,195.278964,-54.720181,90.0,bottom
JP13,195.278964,-54.720181,90.0,top
JP14,205.453965,-54.720181,90.0,top
JP15,205.453965,-54.720181,90.0,bottom
JP2,98.013964,-98.172181,-90.0,top
JP22,82.253963,-104.869801,-90.0,top
JP23,84.028965,-104.870181,-90.0,bottom
JP24,84.028965,-104.869801,-90.0,top
JP25,82.253965,-104.87018,-90.0,bottom
JP26,91.370964,-132.979181,-150.0,bottom
JP27,197.778964,-54.720181,90.0,bottom
JP28,202.878964,-54.72018,90.0,top
JP3,95.519965,-98.172181,-90.0,top
JP4,92.974964,-98.172181,-90.0,top
JP5,100.567415,-98.172181,-90.0,bottom
JP6,98.022415,-98.172181,-90.0,bottom
JP7,95.519965,-98.172181,-90.0,bottom
JP8,92.983414,-98.172181,-90.0,bottom
OLED1,96.983075,-84.225182,180.0,top
PSW1,81.255193,-56.546409,0.0,top
RSW1,82.66396,-117.030188,-90.0,top
SW1,121.421934,-67.972844,180.0,top
SW10,199.746029,-99.677735,170.0,top
SW11,219.348266,-98.057006,170.0,top
SW12,121.421934,-106.118038,180.0,top
SW13,140.415363,-103.118038,180.0,top
SW14,159.465363,-94.118038,180.0,top
SW15,178.576119,-104.449335,176.0,top
SW16,196.434107,-118.460578,170.0,top
SW17,216.036345,-116.839847,170.0,top
SW18,95.943966,-110.320181,0.0,top
SW19,85.726119,-149.264011,-135.0,top
SW2,140.415364,-64.972845,180.0,top
SW20,102.601119,-136.201917,-150.0,top
SW21,122.251118,-127.949121,-165.0,top
SW22,143.365363,-125.068038,180.0,top
SW3,159.465363,-55.972845,180.0,top
SW4,181.236992,-66.397062,176.0,top
SW5,203.057951,-80.894895,170.0,top
SW6,121.421933,-87.045441,180.0,top
SW7,140.415364,-84.045441,180.0,top
SW8,159.465363,-75.045441,180.0,top
SW9,179.906556,-85.423197,176.0,top
U1,97.953965,-67.980181,0.0,top
