Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_reversible,1,JST Connector,
BT2,custombatteryconnector_small,1,Battery_Cell,
BZ1,Buzzer_Mallory_AST1109MLTRQ_reversible,1,Buzzer,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",Diode_SOD123,22,D_Small,
J1,MJ-4PP-9,1,MJ-4PP-9,
J2,Pimoroni Haptic Buzz DRV2605L Driver,1,Haptic Buzz,
"JP1, JP2, JP22, JP23, JP24, JP25, JP26, JP27, JP28, JP3, JP4, JP5, JP6, JP7, JP8",Jumper,15,Device_Jumper_NO_Small,
"JP12, JP14",Jumper,2,VCC Jumper,
"JP13, JP15",Jumper,2,GND Jumper,
"MH1, MH2, MH3, MH4, MH5, MH6, MH7, MH8",MountingHole_3.2mm_M3,8,MountingHole_3.2mm_M3,
MH9,MountingHole_2.2mm_M2,1,MountingHole_2.2mm_M2,
OLED1,SSD1306_128x64OLED,1,SSD1306,
PSW1,MSK12C02_reversible,1,SW_DPDT_x2,
RSW1,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010_both_sides,1,SW_Push,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW19, SW2, SW20, SW21, SW22, SW3, SW4, SW5, SW6, SW7, SW8, SW9",gateron-choc-v1-reversible-with-sk6812-mini,21,SW_PUSH-MX_W_LED,
SW18,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,1,RotaryEncoder_Switch,
U1,ProMicro,1,ProMicro,
